aqi,co,dew,humidity,no2,o3,pm10,pm25,pressure,so2,temperature,wind_gust_combined,wind_speed_combined
19.0,2.0,24.5,68.0,5.0,11.0,25.0,44.0,1004.0,2.0,31.0,10.984000000000002,4.1
43.0,0.2,24.0,85.5,6.0,6.0,23.0,65.0,1005.0,4.0,26.0,10.984000000000002,2.0
16.0,0.3,25.0,76.0,6.9,6.215806451612903,22.0,34.0,1006.0,5.0,28.5,10.984000000000002,3.0
31.0,3.0,19.5,67.0,5.1,6.215806451612903,11.0,33.0,1012.5,6.0,25.0,10.2,4.3
100.0,4.0,19.0,94.0,7.4,3.0,23.0,55.0,1016.5,1.0,20.5,10.984000000000002,1.8
57.0,6.0,7.0,60.0,5.5,2.9,13.0,36.0,1024.0,2.0,13.0,10.984000000000002,4.1
82.26940639269407,4.0,12.0,74.5,8.0,3.7,33.0,85.0,1019.0,4.0,16.0,10.984000000000002,5.4
119.0,0.2,9.5,58.0,8.3,3.3,45.0,134.0,1026.0,4.0,16.0,10.984000000000002,2.8
82.26940639269407,0.2,18.76287262872629,72.48915989159892,11.0,5.7,37.0,91.0,1011.5983739837399,4.0,24.056910569105693,10.984000000000002,2.8048780487804876
82.26940639269407,0.3,21.0,94.0,14.2,4.9,28.0,96.0,1015.0,5.0,21.0,10.984000000000002,1.8
82.26940639269407,0.2,22.0,88.0,1.9,6.5,15.0,36.0,1011.5,4.0,24.0,10.984000000000002,3.6
82.26940639269407,0.2,23.0,72.0,8.769354838709678,11.0,24.0,43.0,1004.0,6.0,28.5,10.984000000000002,3.8
82.26940639269407,0.2,24.0,66.0,7.0,5.3,32.0,28.0,1002.5,2.0,30.5,10.984000000000002,3.6
17.0,0.2,23.5,60.5,5.5,12.0,28.0,29.0,1004.0,2.0,32.0,10.984000000000002,3.8
21.0,4.0,24.0,88.0,5.5,2.5,13.0,25.0,1004.0,4.0,26.0,10.984000000000002,3.8
18.0,0.3,24.0,72.0,7.4,6.215806451612903,26.0,65.0,1005.0,5.0,29.5,10.984000000000002,2.5
19.0,3.0,14.0,56.0,6.4,6.215806451612903,12.0,23.0,1015.5,7.0,23.0,10.984000000000002,4.1
159.0,0.4,21.0,94.0,10.1,3.0,21.0,61.0,1013.0,1.0,24.0,10.984000000000002,3.3
57.0,6.0,6.0,64.0,5.1,3.0,17.0,47.0,1023.0,2.0,12.5,10.984000000000002,3.8
82.26940639269407,5.0,13.5,93.0,7.4,4.0,52.0,127.0,1018.0,3.0,15.0,10.984000000000002,3.0
103.0,5.0,3.0,47.0,10.0,5.7,31.0,109.0,1024.5,4.0,14.5,10.984000000000002,2.0
82.26940639269407,0.2,18.76287262872629,72.48915989159892,19.0,4.9,55.0,112.0,1011.5983739837399,8.7,24.056910569105693,10.984000000000002,2.8048780487804876
82.26940639269407,4.0,17.5,90.5,6.0,3.3,17.0,72.0,1013.5,4.0,18.5,10.984000000000002,3.8
